index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
0,L1,Metro San Pablo L1,Av. San Pablo 6190,LO PRADO,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.723068,-33.444355,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1,L1,Metro Neptuno,Av. Neptuno Oriente Frente Al 260,LO PRADO,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.723086,-33.451453,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
2,L1,Metro Pajaritos,Av. General Bonilla 5900,LO PRADO,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.714218,-33.457279,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
3,L1,Metro Las Rejas,Av. Libertador Bernardo O Higgins 6056,ESTACION CENTRAL,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.706398,-33.457802,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
4,L1,Metro Ecuador,Av. Libertador Bernardo O Higgins Frente Al 4620,ESTACION CENTRAL,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.699623,-33.456448,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
5,L1,Metro San Alberto Hurtado,Av. Libertador Bernardo O Higgins Frente Al 4102,ESTACION CENTRAL,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.692307,-33.454479,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
6,L1,Metro Universidad De Santiago,Av. Libertador Bernardo O Higgins Frente Al 3702,ESTACION CENTRAL,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.688026,-33.453590,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
7,L1,Metro Estacion Central,Av. Libertador Bernardo O Higgins Frente Al 3322,ESTACION CENTRAL,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.679977,-33.451984,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
8,L1,Metro Union Latinoamericana,Av. Libertador Bernardo O Higgins 2841,SANTIAGO,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.673515,-33.449131,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
9,L1,Metro Republica,Av. Libertador Bernardo O Higgins 2275,SANTIAGO,"Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.",-70.666336,-33.447174,Metro,"Venta de tarjeta, Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
